Name,URL,Tier,Win Rate,Change,Pick Rate
Shadow Fiend,https://www.dotabuff.com/heroes/shadow-fiend,S,52.82,2.74,107.08
Visage,https://www.dotabuff.com/heroes/visage,S,60.62,-0.54,7.87
Shadow Shaman,https://www.dotabuff.com/heroes/shadow-shaman,S,58.27,-2.60,0.45
Arc Warden,https://www.dotabuff.com/heroes/arc-warden,S,55.04,2.13,12.73
Night Stalker,https://www.dotabuff.com/heroes/night-stalker,S,56.81,2.36,2.91
Chaos Knight,https://www.dotabuff.com/heroes/chaos-knight,S,57.89,-7.32,0.61
Pudge,https://www.dotabuff.com/heroes/pudge,S,53.73,2.68,20.17
Broodmother,https://www.dotabuff.com/heroes/broodmother,S,54.08,-0.26,9.78
Winter Wyvern,https://www.dotabuff.com/heroes/winter-wyvern,S,55.84,3.31,4.40
Lone Druid,https://www.dotabuff.com/heroes/lone-druid,,54.11,-5.10,7.68
Outworld Destroyer,https://www.dotabuff.com/heroes/outworld-destroyer,,50.74,1.26,31.37
Leshrac,https://www.dotabuff.com/heroes/leshrac,,53.24,0.04,27.59
Bane,https://www.dotabuff.com/heroes/bane,,55.40,-8.88,2.82
Axe,https://www.dotabuff.com/heroes/axe,,51.08,-9.29,2.29
Bounty Hunter,https://www.dotabuff.com/heroes/bounty-hunter,,54.82,-1.43,4.53
Meepo,https://www.dotabuff.com/heroes/meepo,,50.79,1.73,9.16
Marci,https://www.dotabuff.com/heroes/marci,,54.66,5.24,2.47
Zeus,https://www.dotabuff.com/heroes/zeus,,50.02,-4.18,53.53
Storm Spirit,https://www.dotabuff.com/heroes/storm-spirit,,49.45,-1.46,69.40
Enigma,https://www.dotabuff.com/heroes/enigma,,54.87,4.87,0.40
Phoenix,https://www.dotabuff.com/heroes/phoenix,,53.67,-1.31,8.78
Templar Assassin,https://www.dotabuff.com/heroes/templar-assassin,,50.81,-0.91,28.73
Tiny,https://www.dotabuff.com/heroes/tiny,,51.87,-1.66,16.62
Ursa,https://www.dotabuff.com/heroes/ursa,,52.59,2.59,1.30
Clockwerk,https://www.dotabuff.com/heroes/clockwerk,,53.58,-10.31,1.04
Faceless Void,https://www.dotabuff.com/heroes/faceless-void,,53.27,-2.98,0.76
Dragon Knight,https://www.dotabuff.com/heroes/dragon-knight,,51.71,-1.37,21.92
Ember Spirit,https://www.dotabuff.com/heroes/ember-spirit,,51.37,6.22,34.27
Vengeful Spirit,https://www.dotabuff.com/heroes/vengeful-spirit,,53.05,9.97,4.54
Bloodseeker,https://www.dotabuff.com/heroes/bloodseeker,,53.40,-0.77,1.46
Windranger,https://www.dotabuff.com/heroes/windranger,,51.63,-1.60,20.27
Necrophos,https://www.dotabuff.com/heroes/necrophos,,50.63,-5.33,32.22
Void Spirit,https://www.dotabuff.com/heroes/void-spirit,,50.75,-2.07,36.63
Earth Spirit,https://www.dotabuff.com/heroes/earth-spirit,,52.89,-1.96,6.20
Earthshaker,https://www.dotabuff.com/heroes/earthshaker,,52.55,2.74,8.90
Undying,https://www.dotabuff.com/heroes/undying,,53.04,-18.39,0.41
Brewmaster,https://www.dotabuff.com/heroes/brewmaster,,52.63,-6.19,0.61
Spirit Breaker,https://www.dotabuff.com/heroes/spirit-breaker,,50.52,5.49,4.08
Shadow Demon,https://www.dotabuff.com/heroes/shadow-demon,,52.41,-14.25,0.51
Monkey King,https://www.dotabuff.com/heroes/monkey-king,,51.87,1.11,6.94
Alchemist,https://www.dotabuff.com/heroes/alchemist,,52.19,4.71,3.80
Weaver,https://www.dotabuff.com/heroes/weaver,,51.36,-2.30,1.44
Legion Commander,https://www.dotabuff.com/heroes/legion-commander,,47.51,-2.49,4.76
Oracle,https://www.dotabuff.com/heroes/oracle,,50.76,-0.67,1.63
Primal Beast,https://www.dotabuff.com/heroes/primal-beast,,51.03,6.85,6.55
Huskar,https://www.dotabuff.com/heroes/huskar,,48.55,3.09,9.65
Slardar,https://www.dotabuff.com/heroes/slardar,,50.36,-0.50,3.95
Clinkz,https://www.dotabuff.com/heroes/clinkz,,50.34,3.94,7.25
Dawnbreaker,https://www.dotabuff.com/heroes/dawnbreaker,,51.04,8.42,1.70
Rubick,https://www.dotabuff.com/heroes/rubick,,49.90,-1.11,12.09
Spectre,https://www.dotabuff.com/heroes/spectre,,50.57,8.46,0.62
Drow Ranger,https://www.dotabuff.com/heroes/drow-ranger,,50.20,-15.42,0.87
Nyx Assassin,https://www.dotabuff.com/heroes/nyx-assassin,,48.45,-4.88,4.13
Sand King,https://www.dotabuff.com/heroes/sand-king,,47.60,-11.56,9.17
Lina,https://www.dotabuff.com/heroes/lina,,48.14,4.06,32.86
Puck,https://www.dotabuff.com/heroes/puck,,48.05,1.59,22.12
Keeper of the Light,https://www.dotabuff.com/heroes/keeper-of-the-light,,49.67,0.48,7.58
Riki,https://www.dotabuff.com/heroes/riki,,49.41,7.47,2.40
Doom,https://www.dotabuff.com/heroes/doom,,49.70,9.70,1.20
Lycan,https://www.dotabuff.com/heroes/lycan,,49.45,-3.05,3.25
Silencer,https://www.dotabuff.com/heroes/silencer,,48.63,-3.31,7.12
Invoker,https://www.dotabuff.com/heroes/invoker,,46.45,2.64,48.35
Tinker,https://www.dotabuff.com/heroes/tinker,,46.40,3.13,20.26
Wraith King,https://www.dotabuff.com/heroes/wraith-king,,47.95,9.06,0.52
Queen of Pain,https://www.dotabuff.com/heroes/queen-of-pain,,48.09,3.15,24.26
Viper,https://www.dotabuff.com/heroes/viper,,47.78,6.83,9.16
Sniper,https://www.dotabuff.com/heroes/sniper,,46.38,2.75,26.22
Ancient Apparition,https://www.dotabuff.com/heroes/ancient-apparition,,48.52,1.86,1.44
Witch Doctor,https://www.dotabuff.com/heroes/witch-doctor,,48.16,-1.84,4.71
Razor,https://www.dotabuff.com/heroes/razor,,48.00,-0.03,5.94
Dark Willow,https://www.dotabuff.com/heroes/dark-willow,,47.89,-11.57,1.26
Mars,https://www.dotabuff.com/heroes/mars,,47.72,-0.33,2.10
