Name,URL,Tier,Win Rate,Change,Pick Rate
Axe,https://www.dotabuff.com/heroes/axe,S,53.28,-2.74,20.82
Wraith King,https://www.dotabuff.com/heroes/wraith-king,S,54.78,-1.06,16.97
Pudge,https://www.dotabuff.com/heroes/pudge,S,52.60,1.94,29.83
Lifestealer,https://www.dotabuff.com/heroes/lifestealer,S,53.76,0.72,14.20
Arc Warden,https://www.dotabuff.com/heroes/arc-warden,S,53.10,2.00,3.32
Warlock,https://www.dotabuff.com/heroes/warlock,S,54.16,-0.37,11.06
Legion Commander,https://www.dotabuff.com/heroes/legion-commander,S,51.92,-0.58,16.91
Witch Doctor,https://www.dotabuff.com/heroes/witch-doctor,S,52.45,0.20,19.14
Phantom Lancer,https://www.dotabuff.com/heroes/phantom-lancer,S,53.11,0.45,8.87
Shadow Shaman,https://www.dotabuff.com/heroes/shadow-shaman,S,52.67,-3.40,17.08
Silencer,https://www.dotabuff.com/heroes/silencer,S,53.05,0.62,12.40
Night Stalker,https://www.dotabuff.com/heroes/night-stalker,S,53.62,2.23,8.88
Abaddon,https://www.dotabuff.com/heroes/abaddon,S,53.98,0.66,6.18
Lich,https://www.dotabuff.com/heroes/lich,S,53.85,0.37,10.59
Spirit Breaker,https://www.dotabuff.com/heroes/spirit-breaker,S,52.16,0.70,15.56
Outworld Destroyer,https://www.dotabuff.com/heroes/outworld-destroyer,S,52.15,1.52,6.41
Shadow Fiend,https://www.dotabuff.com/heroes/shadow-fiend,S,51.02,0.35,22.04
Juggernaut,https://www.dotabuff.com/heroes/juggernaut,S,51.56,-1.38,19.81
Necrophos,https://www.dotabuff.com/heroes/necrophos,,52.30,-1.10,11.78
Centaur Warrunner,https://www.dotabuff.com/heroes/centaur-warrunner,,52.50,-0.55,12.00
Undying,https://www.dotabuff.com/heroes/undying,,52.92,0.13,8.22
Oracle,https://www.dotabuff.com/heroes/oracle,,52.83,-0.41,5.51
Troll Warlord,https://www.dotabuff.com/heroes/troll-warlord,,52.79,0.88,5.69
Leshrac,https://www.dotabuff.com/heroes/leshrac,,52.62,-0.74,5.15
Underlord,https://www.dotabuff.com/heroes/underlord,,52.93,1.54,4.90
Zeus,https://www.dotabuff.com/heroes/zeus,,50.63,-2.93,17.47
Vengeful Spirit,https://www.dotabuff.com/heroes/vengeful-spirit,,51.59,0.74,13.81
Chaos Knight,https://www.dotabuff.com/heroes/chaos-knight,,51.70,-0.19,8.88
Weaver,https://www.dotabuff.com/heroes/weaver,,51.39,0.57,13.16
Bounty Hunter,https://www.dotabuff.com/heroes/bounty-hunter,,51.71,0.43,8.17
Ogre Magi,https://www.dotabuff.com/heroes/ogre-magi,,51.26,0.25,15.35
Dark Seer,https://www.dotabuff.com/heroes/dark-seer,,52.61,2.23,3.84
Visage,https://www.dotabuff.com/heroes/visage,,52.57,0.99,1.90
Venomancer,https://www.dotabuff.com/heroes/venomancer,,50.88,-1.83,13.97
Dark Willow,https://www.dotabuff.com/heroes/dark-willow,,51.71,0.25,9.81
Skywrath Mage,https://www.dotabuff.com/heroes/skywrath-mage,,51.87,-0.00,8.47
Clinkz,https://www.dotabuff.com/heroes/clinkz,,51.11,0.33,6.53
Ancient Apparition,https://www.dotabuff.com/heroes/ancient-apparition,,51.15,-0.32,7.71
Clockwerk,https://www.dotabuff.com/heroes/clockwerk,,51.32,0.22,6.99
Dragon Knight,https://www.dotabuff.com/heroes/dragon-knight,,50.40,-0.84,12.05
Treant Protector,https://www.dotabuff.com/heroes/treant-protector,,51.50,0.84,4.67
Enigma,https://www.dotabuff.com/heroes/enigma,,51.54,0.78,3.45
Tiny,https://www.dotabuff.com/heroes/tiny,,49.95,-1.56,13.93
Winter Wyvern,https://www.dotabuff.com/heroes/winter-wyvern,,51.18,0.03,5.28
Medusa,https://www.dotabuff.com/heroes/medusa,,51.34,1.35,3.65
Ursa,https://www.dotabuff.com/heroes/ursa,,50.13,-0.08,10.96
Riki,https://www.dotabuff.com/heroes/riki,,50.40,0.43,5.12
Phoenix,https://www.dotabuff.com/heroes/phoenix,,50.64,-1.78,8.65
Jakiro,https://www.dotabuff.com/heroes/jakiro,,50.20,0.54,13.73
Lone Druid,https://www.dotabuff.com/heroes/lone-druid,,50.80,0.18,1.72
Void Spirit,https://www.dotabuff.com/heroes/void-spirit,,50.83,-0.61,6.23
Storm Spirit,https://www.dotabuff.com/heroes/storm-spirit,,49.65,-0.92,12.06
Elder Titan,https://www.dotabuff.com/heroes/elder-titan,,51.37,1.30,1.48
Crystal Maiden,https://www.dotabuff.com/heroes/crystal-maiden,,50.13,0.40,12.02
Templar Assassin,https://www.dotabuff.com/heroes/templar-assassin,,49.29,-1.04,11.49
Brewmaster,https://www.dotabuff.com/heroes/brewmaster,,50.95,3.16,1.36
Drow Ranger,https://www.dotabuff.com/heroes/drow-ranger,,49.51,1.38,11.49
Nyx Assassin,https://www.dotabuff.com/heroes/nyx-assassin,,49.29,0.54,7.55
Sniper,https://www.dotabuff.com/heroes/sniper,,47.59,1.83,15.06
Windranger,https://www.dotabuff.com/heroes/windranger,,49.44,1.31,10.44
Disruptor,https://www.dotabuff.com/heroes/disruptor,,49.62,0.39,8.57
Slardar,https://www.dotabuff.com/heroes/slardar,,49.10,-1.08,10.24
Meepo,https://www.dotabuff.com/heroes/meepo,,48.04,-0.97,2.24
Anti-Mage,https://www.dotabuff.com/heroes/anti-mage,,47.22,0.66,10.01
Lion,https://www.dotabuff.com/heroes/lion,,48.04,0.52,20.78
Alchemist,https://www.dotabuff.com/heroes/alchemist,,50.09,1.67,3.70
Ember Spirit,https://www.dotabuff.com/heroes/ember-spirit,,49.79,1.68,6.01
Io,https://www.dotabuff.com/heroes/io,,49.66,0.61,4.85
Hoodwink,https://www.dotabuff.com/heroes/hoodwink,,48.69,0.68,13.03
Rubick,https://www.dotabuff.com/heroes/rubick,,48.37,1.27,16.33
Broodmother,https://www.dotabuff.com/heroes/broodmother,,49.03,1.58,2.37
Marci,https://www.dotabuff.com/heroes/marci,,49.24,2.62,4.87
Dawnbreaker,https://www.dotabuff.com/heroes/dawnbreaker,,49.57,1.25,4.00
Earthshaker,https://www.dotabuff.com/heroes/earthshaker,,48.67,0.94,10.58
Primal Beast,https://www.dotabuff.com/heroes/primal-beast,,49.09,1.09,3.67
