Name,URL,Tier,Win Rate,Change,Pick Rate
Shadow Fiend,https://www.dotabuff.com/heroes/shadow-fiend,S,52.81,2.72,107.08
Visage,https://www.dotabuff.com/heroes/visage,S,60.56,-0.60,7.87
Shadow Shaman,https://www.dotabuff.com/heroes/shadow-shaman,S,58.27,-2.60,0.45
Arc Warden,https://www.dotabuff.com/heroes/arc-warden,S,55.13,2.23,12.74
Night Stalker,https://www.dotabuff.com/heroes/night-stalker,S,56.95,2.50,2.92
Chaos Knight,https://www.dotabuff.com/heroes/chaos-knight,S,57.56,-7.66,0.61
Pudge,https://www.dotabuff.com/heroes/pudge,S,53.78,2.72,20.16
Broodmother,https://www.dotabuff.com/heroes/broodmother,S,54.17,-0.17,9.77
Winter Wyvern,https://www.dotabuff.com/heroes/winter-wyvern,S,55.98,3.45,4.39
Bane,https://www.dotabuff.com/heroes/bane,,55.60,-8.69,2.84
Outworld Destroyer,https://www.dotabuff.com/heroes/outworld-destroyer,,50.80,1.32,31.36
Lone Druid,https://www.dotabuff.com/heroes/lone-druid,,54.14,-5.07,7.67
Leshrac,https://www.dotabuff.com/heroes/leshrac,,53.21,0.01,27.60
Bounty Hunter,https://www.dotabuff.com/heroes/bounty-hunter,,54.91,-1.34,4.53
Axe,https://www.dotabuff.com/heroes/axe,,50.85,-9.53,2.29
Meepo,https://www.dotabuff.com/heroes/meepo,,50.77,1.71,9.14
Marci,https://www.dotabuff.com/heroes/marci,,54.73,5.30,2.46
Zeus,https://www.dotabuff.com/heroes/zeus,,50.02,-4.17,53.48
Storm Spirit,https://www.dotabuff.com/heroes/storm-spirit,,49.41,-1.50,69.40
Enigma,https://www.dotabuff.com/heroes/enigma,,54.87,4.87,0.40
Phoenix,https://www.dotabuff.com/heroes/phoenix,,53.65,-1.33,8.78
Templar Assassin,https://www.dotabuff.com/heroes/templar-assassin,,50.77,-0.95,28.76
Tiny,https://www.dotabuff.com/heroes/tiny,,51.86,-1.66,16.67
Ursa,https://www.dotabuff.com/heroes/ursa,,53.10,3.10,1.31
Clockwerk,https://www.dotabuff.com/heroes/clockwerk,,53.58,-10.31,1.03
Dragon Knight,https://www.dotabuff.com/heroes/dragon-knight,,51.67,-1.40,21.92
Ember Spirit,https://www.dotabuff.com/heroes/ember-spirit,,51.34,6.19,34.37
Bloodseeker,https://www.dotabuff.com/heroes/bloodseeker,,53.51,-0.66,1.46
Vengeful Spirit,https://www.dotabuff.com/heroes/vengeful-spirit,,53.00,9.92,4.53
Windranger,https://www.dotabuff.com/heroes/windranger,,51.66,-1.57,20.27
Brewmaster,https://www.dotabuff.com/heroes/brewmaster,,53.18,-5.64,0.61
Necrophos,https://www.dotabuff.com/heroes/necrophos,,50.66,-5.31,32.18
Faceless Void,https://www.dotabuff.com/heroes/faceless-void,,52.78,-3.47,0.76
Earth Spirit,https://www.dotabuff.com/heroes/earth-spirit,,52.87,-1.98,6.20
Void Spirit,https://www.dotabuff.com/heroes/void-spirit,,50.67,-2.15,36.66
Undying,https://www.dotabuff.com/heroes/undying,,53.04,-18.39,0.41
Earthshaker,https://www.dotabuff.com/heroes/earthshaker,,52.48,2.67,8.91
Monkey King,https://www.dotabuff.com/heroes/monkey-king,,52.01,1.26,6.93
Shadow Demon,https://www.dotabuff.com/heroes/shadow-demon,,52.41,-14.25,0.51
Alchemist,https://www.dotabuff.com/heroes/alchemist,,52.28,4.80,3.79
Spirit Breaker,https://www.dotabuff.com/heroes/spirit-breaker,,50.35,5.31,4.07
Legion Commander,https://www.dotabuff.com/heroes/legion-commander,,47.62,-2.38,4.75
Weaver,https://www.dotabuff.com/heroes/weaver,,51.23,-2.43,1.43
Oracle,https://www.dotabuff.com/heroes/oracle,,50.76,-0.67,1.62
Primal Beast,https://www.dotabuff.com/heroes/primal-beast,,51.02,6.85,6.57
Slardar,https://www.dotabuff.com/heroes/slardar,,50.53,-0.32,3.96
Huskar,https://www.dotabuff.com/heroes/huskar,,48.65,3.19,9.64
Dawnbreaker,https://www.dotabuff.com/heroes/dawnbreaker,,51.24,8.62,1.71
Clinkz,https://www.dotabuff.com/heroes/clinkz,,50.37,3.97,7.23
Rubick,https://www.dotabuff.com/heroes/rubick,,49.97,-1.03,12.10
Nyx Assassin,https://www.dotabuff.com/heroes/nyx-assassin,,48.54,-4.79,4.12
